Customer Id,CUSTOMER NAME,CUSTOMER_LOCATION_ID,Division,Division Manager,GEO ZONE,customer_created_date,customer_updated_date
2431,CUSTOMER 2431,LOBA00474,Norte/Nordeste,Juarez Silva,Norte,10/22/2020 6:01,10/25/2020 10:44
2434,CUSTOMER 2434,LOMG00475,Centroeste/Sudeste,Carolina Oliveira,Sul de Minas,12/3/2020 6:58,12/5/2020 12:58
2437,CUSTOMER 2437,LOMG00476,Centroeste/Sudeste,Carolina Oliveira,Sul de Minas,12/3/2020 6:58,12/7/2020 8:04
2440,CUSTOMER 2440,LOGO00487,Centroeste/Sudeste,Carolina Oliveira,Goiás,3/9/2021 5:39,3/13/2021 6:57
2443,CUSTOMER 2443,LOGO00488,Centroeste/Sudeste,Carolina Oliveira,Goiás,3/9/2021 5:47,3/13/2021 6:57
2446,CUSTOMER 2446,LOMG00489,Centroeste/Sudeste,Carolina Oliveira,Sul de Minas,4/7/2021 6:47,4/10/2021 6:13
2449,CUSTOMER 2449,LOGO00500,Centroeste/Sudeste,Carolina Oliveira,Goiás,9/24/2020 5:59,9/29/2020 18:19
2452,CUSTOMER 2452,LOGO00501,Centroeste/Sudeste,Carolina Oliveira,Goiás,9/24/2020 5:59,9/29/2020 18:19
2455,CUSTOMER 2455,LOPR00503,Sul,Simon Klaus,Maringa,12/3/2020 6:58,12/5/2020 12:58
2458,CUSTOMER 2458,LOPR00504,Sul,Simon Klaus,Maringa,12/3/2020 6:58,5/28/2021 8:42
2461,CUSTOMER 2461,LOPR00505,Sul,Simon Klaus,Maringa,12/3/2020 6:58,12/5/2020 12:58
2464,CUSTOMER 2464,LOSP00507,Centroeste/Sudeste,Carolina Oliveira,Grande SP,10/22/2020 6:01,5/22/2021 20:00
2467,CUSTOMER 2467,LOSP00508,Centroeste/Sudeste,Carolina Oliveira,Grande SP,9/3/2020 6:02,9/29/2020 18:19
2470,CUSTOMER 2470,LOPR00513,Sul,Simon Klaus,Maringa,12/3/2020 6:58,3/5/2021 9:25
2473,CUSTOMER 2473,LOSC00517,Sul,Simon Klaus,Interior SC,9/24/2020 5:59,9/29/2020 18:19
2476,CUSTOMER 2476,LOSC00518,Sul,Simon Klaus,Interior SC,9/24/2020 5:59,9/29/2020 18:19
2479,CUSTOMER 2479,LOSC00519,Sul,Simon Klaus,Interior SC,12/3/2020 6:58,3/9/2021 4:54
2482,CUSTOMER 2482,LOSC00520,Sul,Simon Klaus,Interior SC,12/3/2020 6:58,12/16/2020 12:59
2485,CUSTOMER 2485,LOSC00521,Sul,Simon Klaus,Interior SC,12/3/2020 6:58,12/16/2020 13:00
2488,CUSTOMER 2488,LOSP00522,Centroeste/Sudeste,Carolina Oliveira,Interior SP,10/22/2020 6:01,10/28/2020 12:39
2491,CUSTOMER 2491,LOSP00523,Centroeste/Sudeste,Carolina Oliveira,Interior SP,10/22/2020 6:01,10/28/2020 13:11
2494,CUSTOMER 2494,LOSP00524,Centroeste/Sudeste,Carolina Oliveira,Interior SP,10/22/2020 6:01,10/28/2020 13:12
2497,CUSTOMER 2497,LOSP00525,Centroeste/Sudeste,Carolina Oliveira,Interior SP,10/22/2020 6:01,10/29/2020 8:59
2500,CUSTOMER 2500,LOSP00526,Centroeste/Sudeste,Carolina Oliveira,Interior SP,12/3/2020 6:58,12/5/2020 12:58
2503,CUSTOMER 2503,LOSP00527,Centroeste/Sudeste,Carolina Oliveira,Interior SP,12/3/2020 6:58,12/5/2020 12:58
2506,CUSTOMER 2506,LOSP00528,Centroeste/Sudeste,Carolina Oliveira,Campinas,12/3/2020 6:58,12/6/2020 8:45
2509,CUSTOMER 2509,LOPR00534,Sul,Simon Klaus,Curitiba,12/3/2020 6:58,4/6/2021 7:02
2512,CUSTOMER 2512,LOPR00535,Sul,Simon Klaus,Curitiba,2/10/2021 11:24,2/13/2021 10:53
2515,CUSTOMER 2515,LOPR00536,Sul,Simon Klaus,Curitiba,10/22/2020 6:01,10/24/2020 12:01
2518,CUSTOMER 2518,LOPR00537,Sul,Simon Klaus,Curitiba,10/22/2020 6:01,10/24/2020 12:01
2521,CUSTOMER 2521,LOPR00538,Sul,Simon Klaus,Curitiba,10/22/2020 6:01,10/24/2020 12:01
2524,CUSTOMER 2524,LOPR00540,Sul,Simon Klaus,Curitiba,12/3/2020 6:58,3/13/2021 11:31
2527,CUSTOMER 2527,LOPR00541,Sul,Simon Klaus,Curitiba,10/22/2020 6:01,10/24/2020 12:01
2530,CUSTOMER 2530,LOSP00548,Centroeste/Sudeste,Carolina Oliveira,Campinas,9/3/2020 6:02,9/29/2020 18:19
2533,CUSTOMER 2533,LOSP00549,Centroeste/Sudeste,Carolina Oliveira,Campinas,10/22/2020 6:01,10/24/2020 12:01
2536,CUSTOMER 2536,LOSP00550,Centroeste/Sudeste,Carolina Oliveira,Campinas,5/29/2021 13:08,6/1/2021 12:28
2539,CUSTOMER 2539,LOSP00551,Centroeste/Sudeste,Carolina Oliveira,Campinas,5/29/2021 13:17,6/1/2021 12:40
2542,CUSTOMER 2542,LORS00553,Sul,Simon Klaus,Santa Maria,12/3/2020 6:58,12/5/2020 12:58
2545,CUSTOMER 2545,LOSC00554,Sul,Simon Klaus,Interior SC,12/3/2020 6:58,12/5/2020 12:58
2548,CUSTOMER 2548,LORJ00566,Centroeste/Sudeste,Carolina Oliveira,Rio de Janeiro,11/23/2020 14:27,11/26/2020 14:01
2551,CUSTOMER 2551,LOBA00570,Norte/Nordeste,Juarez Silva,Norte,10/22/2020 6:01,10/31/2020 16:21
2554,CUSTOMER 2554,LOSP00575,Centroeste/Sudeste,Carolina Oliveira,Interior SP,10/22/2020 6:01,10/24/2020 12:01
2557,CUSTOMER 2557,LOSP00576,Centroeste/Sudeste,Carolina Oliveira,Interior SP,10/22/2020 6:01,10/24/2020 12:01
