LOCATION_ID,Country,State,City,Latitude,Longitude
LOBA00474,BR,BA,Alagoinhas,-12.10368,-38.35509
LOMG00475,BR,MG,Alfenas,-21.466445,-45.996509
LOMG00476,BR,MG,Alfenas,-21.466855,-45.984828
LOGO00487,BR,GO,Anápolis,-16.424773,-48.993149
LOGO00488,BR,GO,Anápolis,-16.33682,-48.98764
LOMG00489,BR,MG,Andradas,-22.11501,-46.60979
LOGO00500,BR,GO,Aparecida De Goiânia,-16.83137,-49.29617
LOGO00501,BR,GO,Aparecida De Goiânia,-16.823551,-49.275185
LOPR00503,BR,PR,Apucarana,-23.589266,-51.495113
LOPR00504,BR,PR,Apucarana,-23.589472,-51.495614
LOPR00505,BR,PR,Apucarana,-23.551175,-51.464377
LOSP00507,BR,SP,Araçariguama,-23.467887,-47.141173
LOSP00508,BR,SP,Araçariguama,-23.4688,-47.1102
LOPR00513,BR,PR,Arapongas,-23.4542,-51.4612
LOSC00517,BR,SC,Araranguá,-28.989218,-49.543784
LOSC00518,BR,SC,Araranguá,-28.989218,-49.543784
LOSC00519,BR,SC,Araranguá,-28.975791,-49.498983
LOSC00520,BR,SC,Araranguá,-28.989271,-49.543779
LOSC00521,BR,SC,Araranguá,-28.989307,-49.543768
LOSP00522,BR,SP,Araraquara,-21.85451,-48.18663
LOSP00523,BR,SP,Araraquara,-21.8435,-48.1955
LOSP00524,BR,SP,Araraquara,-21.86225,-48.18734
LOSP00525,BR,SP,Araraquara,-21.8392,-48.2062
LOSP00526,BR,SP,Araraquara,-21.813534,-48.211287
LOSP00527,BR,SP,Araraquara,-21.829056,-48.214039
LOSP00528,BR,SP,Araraquara,-21.837071,-48.203607
LOPR00534,BR,PR,Araucaria,-25.572968,-49.401618
LOPR00535,BR,PR,Araucaria,-25.598768,-49.425595
LOPR00536,BR,PR,Araucária,-25.6082,-49.4182
LOPR00537,BR,PR,Araucária,-25.5902,-49.4082
LOPR00538,BR,PR,Araucária,-25.5902,-49.4082
LOPR00540,BR,PR,Araucária,-25.553206,-49.37974
LOPR00541,BR,PR,Araucária,-25.6134,-49.4331
LOSP00548,BR,SP,Atibaia,-23.0879,-46.7127
LOSP00549,BR,SP,Atibaia,-23.08875,-46.71209
LOSP00550,BR,SP,Atibaia,-23.14516,-46.58411
LOSP00551,BR,SP,Atibaia,-23.14516,-46.58411
LORS00553,BR,RS,Bagé,-31.361519,-54.146932
LOSC00554,BR,SC,Balneário Camboriú,-27.008612,-48.673451
LORJ00566,BR,RJ,Barra Do Piraí,-22.51254,-44.05376
LOBA00570,BR,BA,Barreiras,-12.1562,-45.1252
LOSP00575,BR,SP,Batatais,-20.9412,-47.6272
LOSP00576,BR,SP,Batatais,-20.9382,-47.6282
LOSP00577,BR,SP,Batatais,-20.941602,-47.626913
LOGO00581,BR,GO,Bela Vista De Goiás,-17.0872,-48.9912
LORJ00593,BR,RJ,Belford Roxo,-22.7962,-43.4182
LOMG00595,BR,MG,Belo Horizonte,-19.9382,-43.9672
LOMG00596,BR,MG,Belo Horizonte,-19.962075,-43.933203
LOMG00597,BR,MG,Belo Horizonte,-19.958874,-43.988122
LOMG00598,BR,MG,Belo Horizonte,-19.958477,-43.966276
LOMG00599,BR,MG,Belo Horizonte,-19.970454,-43.959975
LOMG00600,BR,MG,Belo Horizonte,-19.957909,-43.961259
LOMG00601,BR,MG,Belo Horizonte,-20.020737,-44.041862
LOMG00620,BR,MG,Betim,-20.0032,-44.2342
LOMG00621,BR,MG,Betim,-19.983837,-44.22571
LOMG00622,BR,MG,Betim,-19.988615,-44.103514
LOMG00623,BR,MG,Betim,-19.985183,-44.108145
LOMG00624,BR,MG,Betim,-19.988484,-44.105552
LOSC00630,BR,SC,Blumenau,-26.961912,-49.091088
LOGO00635,BR,GO,Bom Jesus De Goiás,-18.235992,-49.804469
LOSC00644,BR,SC,Braço Do Norte,-28.306868,-49.202498
LODF00649,BR,DF,Brasilia,-15.80994,-47.96529
LODF00650,BR,DF,Brasilia,-16.08199,-48.07353
LODF00651,BR,DF,Brasilia,-16.05246,-48.02799
LODF00652,BR,DF,Brasilia,-16.04914,-48.09687
LODF00653,BR,DF,Brasilia,-15.85577,-47.95832
LODF00654,BR,DF,Brasília,-15.87068,-47.95131
LODF00655,BR,DF,Brasília,-15.785278,-47.959657
LODF00656,BR,DF,Brasília,-15.880865,-48.085043
LODF00657,BR,DF,Brasília,-15.984759,-48.040129
LODF00658,BR,DF,Brasília,-15.8132,-47.9642
LODF00659,BR,DF,Brasília,-15.9082,-48.0762
LODF00660,BR,DF,Brasília,-15.8132,-47.9642
LODF00661,BR,DF,Brasília,-15.87664,-47.920752
LODF00662,BR,DF,Brasília,-15.836432,-47.96996
LODF00663,BR,DF,Brasília,-15.887823,-48.07481
LODF00664,BR,DF,Brasília,-15.795483,-47.911886
LODF00665,BR,DF,Brasília,-15.861993,-47.965501
LODF00666,BR,DF,Brasília,-15.855954,-47.961918
LOMG00667,BR,MG,Brumadinho,-20.1462,-44.1642
LOSC00668,BR,SC,Brusque,-27.13096,-48.953848
LOSC00669,BR,SC,Brusque,-27.159787,-48.957249
LORS00684,BR,RS,Cachoeira Do Sul,-30.049158,-52.943769
LORS00685,BR,RS,Cachoeira Do Sul,-30.033781,-52.956615
LORS00686,BR,RS,Cachoeira Do Sul,-30.067012,-52.966039
LOES00697,BR,ES,Cachoeiro De Itapemirim,-20.875703,-41.193556
LOSP00699,BR,SP,Cajamar,-23.438266,-46.870353
LOBA00702,BR,BA,Camaçari,-12.7662,-38.3462
LOBA00703,BR,BA,Camaçari,-12.7682,-38.3462
LOPR00705,BR,PR,Cambé,-23.3092,-51.2822
LOPR00706,BR,PR,Cambé,-23.33402,-51.28961
LOSP00707,BR,SP,Campinas,-22.8892,-47.1622
LOSP00708,BR,SP,Campinas,-22.89631,-47.175504
LOSP00709,BR,SP,Campinas,-22.8852,-47.0602
LOSP00710,BR,SP,Campinas,-22.9052,-47.1728
LOSP00711,BR,SP,Campinas,-22.8712,-47.0702
LOSP00712,BR,SP,Campinas,-22.956059,-47.155219
LOSP00713,BR,SP,Campinas,-22.960551,-47.062384
LOSP00714,BR,SP,Campinas,-22.928111,-47.099455
LOSP00715,BR,SP,Campinas,-22.94977,-47.100164
LOSP00716,BR,SP,Campinas,-22.98973,-47.12692
LOSP00717,BR,SP,Campinas,-22.952049,-47.102973
LOSP00718,BR,SP,Campinas,-23.002678,-47.179844
LOSP00719,BR,SP,Campinas,-22.986398,-47.225364
LOSP00720,BR,SP,Campinas,-22.889252,-47.190049
LOSP00721,BR,SP,Campinas,-22.897937,-47.188105
LOSP00722,BR,SP,Campinas,-22.864422,-47.130024
LOSP00723,BR,SP,Campinas,-22.986398,-47.225364
LOMG00724,BR,MG,Campo Belo,-20.919046,-45.299158
LOMG00725,BR,MG,Campo Belo,-20.933762,-45.304968
LOPR00730,BR,PR,Campo Largo,-25.4756,-49.5547
LOPR00733,BR,PR,Campo Largo,-25.497091,-49.564186
LOPR00734,BR,PR,Campo Magro,-25.4102,-49.4392
LOPR00735,BR,PR,Campo Mourão,-24.062156,-52.435349
LOMG00738,BR,MG,Campos Gerais,-21.262436,-45.800764
LOSC00739,BR,SC,Campos Novos,-27.430268,-51.230503
LORS00741,BR,RS,Candelaria,-29.701501,-52.827516
LOSP00763,BR,SP,Capivari,-23.040769,-47.554816
LOPR00767,BR,PR,Cascavel,-25.02404,-53.5437
LOPR00768,BR,PR,Cascavel,-25.016,-53.53624
LOBA00788,BR,BA,Catu,-12.389321,-38.412173
LOBA00789,BR,BA,Catu,-12.394593,-38.416589
LOPR00889,BR,PR,Colombo,-25.397254,-49.2241
LOPR00891,BR,PR,Colorado,-22.875184,-51.997312
LOMG00894,BR,MG,Conceição Do Pará,-19.756259,-44.89775
